@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2022-10-01 00:00:00,6.6,GR9
NO2,2022-10-01 01:00:00,5.7,GR9
NO2,2022-10-01 02:00:00,4.6,GR9
NO2,2022-10-01 03:00:00,3.3,GR9
NO2,2022-10-01 04:00:00,3.7,GR9
NO2,2022-10-01 05:00:00,5.8,GR9
NO2,2022-10-01 06:00:00,8.1,GR9
NO2,2022-10-01 07:00:00,9,GR9
NO2,2022-10-01 08:00:00,6.8,GR9
NO2,2022-10-01 09:00:00,6.5,GR9
NO2,2022-10-01 10:00:00,6.2,GR9
NO2,2022-10-01 11:00:00,4.8,GR9
NO2,2022-10-01 12:00:00,4.1,GR9
NO2,2022-10-01 13:00:00,4.2,GR9
NO2,2022-10-01 14:00:00,4.1,GR9
NO2,2022-10-01 15:00:00,4.6,GR9
NO2,2022-10-01 16:00:00,4.1,GR9
NO2,2022-10-01 17:00:00,6.1,GR9
NO2,2022-10-01 18:00:00,8.4,GR9
NO2,2022-10-01 19:00:00,11.5,GR9
NO2,2022-10-01 20:00:00,10.5,GR9
NO2,2022-10-01 21:00:00,6.7,GR9
NO2,2022-10-01 22:00:00,5.3,GR9
NO2,2022-10-01 23:00:00,9.8,GR9
NO2,2022-10-02 00:00:00,6.7,GR9
NO2,2022-10-02 01:00:00,6.9,GR9
NO2,2022-10-02 02:00:00,5.7,GR9
NO2,2022-10-02 03:00:00,4,GR9
NO2,2022-10-02 04:00:00,3.5,GR9
NO2,2022-10-02 05:00:00,6.1,GR9
NO2,2022-10-02 06:00:00,10.3,GR9
NO2,2022-10-02 07:00:00,13.1,GR9
NO2,2022-10-02 08:00:00,17.5,GR9
NO2,2022-10-02 09:00:00,20.7,GR9
NO2,2022-10-02 10:00:00,13.1,GR9
NO2,2022-10-02 11:00:00,12.9,GR9
NO2,2022-10-02 12:00:00,9.2,GR9
NO2,2022-10-02 13:00:00,6.5,GR9
NO2,2022-10-02 14:00:00,8,GR9
NO2,2022-10-02 15:00:00,9.8,GR9
NO2,2022-10-02 16:00:00,14.4,GR9
NO2,2022-10-02 17:00:00,37.6,GR9
NO2,2022-10-02 18:00:00,74.2,GR9
NO2,2022-10-02 19:00:00,66.2,GR9
NO2,2022-10-02 20:00:00,55.1,GR9
NO2,2022-10-02 21:00:00,50.4,GR9
NO2,2022-10-02 22:00:00,46,GR9
NO2,2022-10-02 23:00:00,40.1,GR9
NO2,2022-10-03 00:00:00,33.9,GR9
NO2,2022-10-03 01:00:00,33.3,GR9
NO2,2022-10-03 02:00:00,28.8,GR9
NO2,2022-10-03 03:00:00,27.5,GR9
NO2,2022-10-03 04:00:00,22.6,GR9
NO2,2022-10-03 05:00:00,27.9,GR9
NO2,2022-10-03 06:00:00,32.1,GR9
NO2,2022-10-03 07:00:00,37.1,GR9
NO2,2022-10-03 08:00:00,48.3,GR9
NO2,2022-10-03 09:00:00,54.5,GR9
NO2,2022-10-03 10:00:00,38.2,GR9
NO2,2022-10-03 11:00:00,19.4,GR9
NO2,2022-10-03 12:00:00,18.8,GR9
NO2,2022-10-03 13:00:00,18.5,GR9
NO2,2022-10-03 14:00:00,21.5,GR9
NO2,2022-10-03 15:00:00,22.9,GR9
NO2,2022-10-03 16:00:00,24.9,GR9
NO2,2022-10-03 17:00:00,32.5,GR9
NO2,2022-10-03 18:00:00,35.8,GR9
NO2,2022-10-03 19:00:00,32.9,GR9
NO2,2022-10-03 20:00:00,21.6,GR9
NO2,2022-10-03 21:00:00,21.9,GR9
NO2,2022-10-03 22:00:00,17.5,GR9
NO2,2022-10-03 23:00:00,10.1,GR9
NO2,2022-10-04 00:00:00,8.1,GR9
NO2,2022-10-04 01:00:00,5.8,GR9
NO2,2022-10-04 02:00:00,6.8,GR9
NO2,2022-10-04 03:00:00,6.6,GR9
NO2,2022-10-04 04:00:00,11,GR9
NO2,2022-10-04 05:00:00,25.9,GR9
NO2,2022-10-04 06:00:00,25.1,GR9
NO2,2022-10-04 07:00:00,31.5,GR9
NO2,2022-10-04 08:00:00,20,GR9
NO2,2022-10-04 09:00:00,13.5,GR9
NO2,2022-10-04 10:00:00,12.4,GR9
NO2,2022-10-04 11:00:00,13.3,GR9
NO2,2022-10-04 12:00:00,14.6,GR9
NO2,2022-10-04 13:00:00,16.7,GR9
NO2,2022-10-04 14:00:00,17.6,GR9
NO2,2022-10-04 15:00:00,20.8,GR9
NO2,2022-10-04 16:00:00,25.9,GR9
NO2,2022-10-04 17:00:00,24.5,GR9
NO2,2022-10-04 18:00:00,18.6,GR9
NO2,2022-10-04 19:00:00,14.3,GR9
NO2,2022-10-04 20:00:00,12.5,GR9
NO2,2022-10-04 21:00:00,9.3,GR9
NO2,2022-10-04 22:00:00,6.8,GR9
NO2,2022-10-04 23:00:00,5.9,GR9
NO2,2022-10-05 00:00:00,4.3,GR9
NO2,2022-10-05 01:00:00,3.3,GR9
NO2,2022-10-05 02:00:00,3.4,GR9
NO2,2022-10-05 03:00:00,3.4,GR9
NO2,2022-10-05 04:00:00,7.1,GR9
NO2,2022-10-05 05:00:00,12.4,GR9
NO2,2022-10-05 06:00:00,16.7,GR9
NO2,2022-10-05 07:00:00,20.8,GR9
NO2,2022-10-05 08:00:00,14.1,GR9
NO2,2022-10-05 09:00:00,,GR9
NO2,2022-10-05 10:00:00,5.8,GR9
NO2,2022-10-05 11:00:00,6.8,GR9
NO2,2022-10-05 12:00:00,10.4,GR9
NO2,2022-10-05 13:00:00,12.5,GR9
NO2,2022-10-05 14:00:00,6.3,GR9
NO2,2022-10-05 15:00:00,8,GR9
NO2,2022-10-05 16:00:00,7.8,GR9
NO2,2022-10-05 17:00:00,9.4,GR9
NO2,2022-10-05 18:00:00,10.5,GR9
NO2,2022-10-05 19:00:00,8.1,GR9
NO2,2022-10-05 20:00:00,8.7,GR9
NO2,2022-10-05 21:00:00,6.5,GR9
NO2,2022-10-05 22:00:00,5.6,GR9
NO2,2022-10-05 23:00:00,4.3,GR9
NO2,2022-10-06 00:00:00,4.2,GR9
NO2,2022-10-06 01:00:00,4.2,GR9
NO2,2022-10-06 02:00:00,4.7,GR9
NO2,2022-10-06 03:00:00,7.3,GR9
NO2,2022-10-06 04:00:00,21,GR9
NO2,2022-10-06 05:00:00,26,GR9
NO2,2022-10-06 06:00:00,34.4,GR9
NO2,2022-10-06 07:00:00,32.2,GR9
NO2,2022-10-06 08:00:00,23.2,GR9
NO2,2022-10-06 09:00:00,9.6,GR9
NO2,2022-10-06 10:00:00,5.1,GR9
NO2,2022-10-06 11:00:00,8,GR9
NO2,2022-10-06 12:00:00,6.4,GR9
NO2,2022-10-06 13:00:00,5.4,GR9
NO2,2022-10-06 14:00:00,11.7,GR9
NO2,2022-10-06 15:00:00,21.8,GR9
NO2,2022-10-06 16:00:00,23.5,GR9
NO2,2022-10-06 17:00:00,29.5,GR9
NO2,2022-10-06 18:00:00,26.1,GR9
NO2,2022-10-06 19:00:00,27.1,GR9
NO2,2022-10-06 20:00:00,20.7,GR9
NO2,2022-10-06 21:00:00,17.7,GR9
NO2,2022-10-06 22:00:00,14.7,GR9
NO2,2022-10-06 23:00:00,13.4,GR9
NO2,2022-10-07 00:00:00,9.3,GR9
NO2,2022-10-07 01:00:00,7.3,GR9
NO2,2022-10-07 02:00:00,7.6,GR9
NO2,2022-10-07 03:00:00,7.2,GR9
NO2,2022-10-07 04:00:00,12.4,GR9
NO2,2022-10-07 05:00:00,23,GR9
NO2,2022-10-07 06:00:00,24,GR9
NO2,2022-10-07 07:00:00,26,GR9
NO2,2022-10-07 08:00:00,20.1,GR9
NO2,2022-10-07 09:00:00,14.5,GR9
NO2,2022-10-07 10:00:00,11.6,GR9
NO2,2022-10-07 11:00:00,9.1,GR9
NO2,2022-10-07 12:00:00,12.2,GR9
NO2,2022-10-07 13:00:00,11.2,GR9
NO2,2022-10-07 14:00:00,11.7,GR9
NO2,2022-10-07 15:00:00,10.7,GR9
NO2,2022-10-07 16:00:00,14.4,GR9
NO2,2022-10-07 17:00:00,13.5,GR9
NO2,2022-10-07 18:00:00,9.8,GR9
NO2,2022-10-07 19:00:00,11.8,GR9
NO2,2022-10-07 20:00:00,12.7,GR9
NO2,2022-10-07 21:00:00,11.9,GR9
NO2,2022-10-07 22:00:00,11.3,GR9
NO2,2022-10-07 23:00:00,17,GR9
NO2,2022-10-08 00:00:00,12.3,GR9
NO2,2022-10-08 01:00:00,9.5,GR9
NO2,2022-10-08 02:00:00,8.6,GR9
NO2,2022-10-08 03:00:00,9,GR9
NO2,2022-10-08 04:00:00,12.7,GR9
NO2,2022-10-08 05:00:00,25.7,GR9
NO2,2022-10-08 06:00:00,29.2,GR9
NO2,2022-10-08 07:00:00,19.2,GR9
NO2,2022-10-08 08:00:00,14.4,GR9
NO2,2022-10-08 09:00:00,13.9,GR9
NO2,2022-10-08 10:00:00,14.2,GR9
NO2,2022-10-08 11:00:00,11.3,GR9
NO2,2022-10-08 12:00:00,8.7,GR9
NO2,2022-10-08 13:00:00,8.6,GR9
NO2,2022-10-08 14:00:00,11,GR9
NO2,2022-10-08 15:00:00,10.8,GR9
NO2,2022-10-08 16:00:00,12.3,GR9
NO2,2022-10-08 17:00:00,37.4,GR9
NO2,2022-10-08 18:00:00,66.3,GR9
NO2,2022-10-08 19:00:00,57,GR9
NO2,2022-10-08 20:00:00,53.6,GR9
NO2,2022-10-08 21:00:00,50,GR9
NO2,2022-10-08 22:00:00,45.8,GR9
NO2,2022-10-08 23:00:00,48.7,GR9
NO2,2022-10-09 00:00:00,40.3,GR9
NO2,2022-10-09 01:00:00,29.9,GR9
NO2,2022-10-09 02:00:00,23.6,GR9
NO2,2022-10-09 03:00:00,25.3,GR9
NO2,2022-10-09 04:00:00,21.7,GR9
NO2,2022-10-09 05:00:00,32.1,GR9
NO2,2022-10-09 06:00:00,31,GR9
NO2,2022-10-09 07:00:00,25.1,GR9
NO2,2022-10-09 08:00:00,20.5,GR9
NO2,2022-10-09 09:00:00,9.6,GR9
NO2,2022-10-09 10:00:00,9.9,GR9
NO2,2022-10-09 11:00:00,9.4,GR9
NO2,2022-10-09 12:00:00,11.4,GR9
NO2,2022-10-09 13:00:00,12.4,GR9
NO2,2022-10-09 14:00:00,9.8,GR9
NO2,2022-10-09 15:00:00,12.5,GR9
NO2,2022-10-09 16:00:00,12.9,GR9
NO2,2022-10-09 17:00:00,25.7,GR9
NO2,2022-10-09 18:00:00,46.7,GR9
NO2,2022-10-09 19:00:00,53.1,GR9
NO2,2022-10-09 20:00:00,60.1,GR9
NO2,2022-10-09 21:00:00,52.4,GR9
NO2,2022-10-09 22:00:00,53.6,GR9
NO2,2022-10-09 23:00:00,44.9,GR9
NO2,2022-10-10 00:00:00,39,GR9
NO2,2022-10-10 01:00:00,33.6,GR9
NO2,2022-10-10 02:00:00,33.8,GR9
NO2,2022-10-10 03:00:00,38.2,GR9
NO2,2022-10-10 04:00:00,42.1,GR9
NO2,2022-10-10 05:00:00,41.8,GR9
NO2,2022-10-10 06:00:00,48.7,GR9
NO2,2022-10-10 07:00:00,24,GR9
NO2,2022-10-10 08:00:00,20.9,GR9
NO2,2022-10-10 09:00:00,19,GR9
NO2,2022-10-10 10:00:00,17.5,GR9
NO2,2022-10-10 11:00:00,10.5,GR9
NO2,2022-10-10 12:00:00,9.5,GR9
NO2,2022-10-10 13:00:00,10.5,GR9
NO2,2022-10-10 14:00:00,12.9,GR9
NO2,2022-10-10 15:00:00,13.6,GR9
NO2,2022-10-10 16:00:00,18.6,GR9
NO2,2022-10-10 17:00:00,41.8,GR9
NO2,2022-10-10 18:00:00,68.2,GR9
NO2,2022-10-10 19:00:00,66.4,GR9
NO2,2022-10-10 20:00:00,60,GR9
NO2,2022-10-10 21:00:00,44.1,GR9
NO2,2022-10-10 22:00:00,57,GR9
NO2,2022-10-10 23:00:00,47.7,GR9
NO2,2022-10-11 00:00:00,42.3,GR9
NO2,2022-10-11 01:00:00,34.8,GR9
NO2,2022-10-11 02:00:00,31.2,GR9
NO2,2022-10-11 03:00:00,31.5,GR9
NO2,2022-10-11 04:00:00,31.2,GR9
NO2,2022-10-11 05:00:00,31.9,GR9
NO2,2022-10-11 06:00:00,33.5,GR9
NO2,2022-10-11 07:00:00,41.8,GR9
NO2,2022-10-11 08:00:00,41.8,GR9
NO2,2022-10-11 09:00:00,41,GR9
NO2,2022-10-11 10:00:00,41.4,GR9
NO2,2022-10-11 11:00:00,36.4,GR9
NO2,2022-10-11 12:00:00,35.7,GR9
NO2,2022-10-11 13:00:00,29.9,GR9
NO2,2022-10-11 14:00:00,39.9,GR9
NO2,2022-10-11 15:00:00,29,GR9
NO2,2022-10-11 16:00:00,56.5,GR9
NO2,2022-10-11 17:00:00,74.7,GR9
NO2,2022-10-11 18:00:00,75.2,GR9
NO2,2022-10-11 19:00:00,63,GR9
NO2,2022-10-11 20:00:00,62.5,GR9
NO2,2022-10-11 21:00:00,54.1,GR9
NO2,2022-10-11 22:00:00,44.8,GR9
NO2,2022-10-11 23:00:00,44.8,GR9
NO2,2022-10-12 00:00:00,39.5,GR9
NO2,2022-10-12 01:00:00,31.8,GR9
NO2,2022-10-12 02:00:00,33.6,GR9
NO2,2022-10-12 03:00:00,31.3,GR9
NO2,2022-10-12 04:00:00,35.6,GR9
NO2,2022-10-12 05:00:00,57.2,GR9
NO2,2022-10-12 06:00:00,48.9,GR9
NO2,2022-10-12 07:00:00,47.4,GR9
NO2,2022-10-12 08:00:00,45.3,GR9
NO2,2022-10-12 09:00:00,25.3,GR9
NO2,2022-10-12 10:00:00,18.3,GR9
NO2,2022-10-12 11:00:00,13.2,GR9
NO2,2022-10-12 12:00:00,20.8,GR9
NO2,2022-10-12 13:00:00,22.9,GR9
NO2,2022-10-12 14:00:00,19.2,GR9
NO2,2022-10-12 15:00:00,40.1,GR9
NO2,2022-10-12 16:00:00,51.7,GR9
NO2,2022-10-12 17:00:00,42.6,GR9
NO2,2022-10-12 18:00:00,27.1,GR9
NO2,2022-10-12 19:00:00,24.2,GR9
NO2,2022-10-12 20:00:00,16.2,GR9
NO2,2022-10-12 21:00:00,15.2,GR9
NO2,2022-10-12 22:00:00,15.9,GR9
NO2,2022-10-12 23:00:00,14.8,GR9
NO2,2022-10-13 00:00:00,13.3,GR9
NO2,2022-10-13 01:00:00,10.9,GR9
NO2,2022-10-13 02:00:00,14.3,GR9
NO2,2022-10-13 03:00:00,24,GR9
NO2,2022-10-13 04:00:00,26.1,GR9
NO2,2022-10-13 05:00:00,38.5,GR9
NO2,2022-10-13 06:00:00,36.7,GR9
NO2,2022-10-13 07:00:00,35.8,GR9
NO2,2022-10-13 08:00:00,39.3,GR9
NO2,2022-10-13 09:00:00,33.9,GR9
NO2,2022-10-13 10:00:00,47.4,GR9
NO2,2022-10-13 11:00:00,48.8,GR9
NO2,2022-10-13 12:00:00,47.4,GR9
NO2,2022-10-13 13:00:00,44.9,GR9
NO2,2022-10-13 14:00:00,47.1,GR9
NO2,2022-10-13 15:00:00,43.9,GR9
NO2,2022-10-13 16:00:00,55,GR9
NO2,2022-10-13 17:00:00,72.4,GR9
NO2,2022-10-13 18:00:00,70.2,GR9
NO2,2022-10-13 19:00:00,62.9,GR9
NO2,2022-10-13 20:00:00,49.4,GR9
NO2,2022-10-13 21:00:00,42.3,GR9
NO2,2022-10-13 22:00:00,33.5,GR9
NO2,2022-10-13 23:00:00,28.2,GR9
NO2,2022-10-14 00:00:00,30.8,GR9
NO2,2022-10-14 01:00:00,30.8,GR9
NO2,2022-10-14 02:00:00,26.5,GR9
NO2,2022-10-14 03:00:00,31.6,GR9
NO2,2022-10-14 04:00:00,32.7,GR9
NO2,2022-10-14 05:00:00,43.3,GR9
NO2,2022-10-14 06:00:00,41.7,GR9
NO2,2022-10-14 07:00:00,47.5,GR9
NO2,2022-10-14 08:00:00,36.9,GR9
NO2,2022-10-14 09:00:00,24.9,GR9
NO2,2022-10-14 10:00:00,19.2,GR9
NO2,2022-10-14 11:00:00,25.8,GR9
NO2,2022-10-14 12:00:00,20.3,GR9
NO2,2022-10-14 13:00:00,24,GR9
NO2,2022-10-14 14:00:00,21.1,GR9
NO2,2022-10-14 15:00:00,20.5,GR9
NO2,2022-10-14 16:00:00,20.1,GR9
NO2,2022-10-14 17:00:00,15.7,GR9
NO2,2022-10-14 18:00:00,21.1,GR9
NO2,2022-10-14 19:00:00,22.5,GR9
NO2,2022-10-14 20:00:00,31,GR9
NO2,2022-10-14 21:00:00,40.3,GR9
NO2,2022-10-14 22:00:00,35.6,GR9
NO2,2022-10-14 23:00:00,27.6,GR9
NO2,2022-10-15 00:00:00,37.3,GR9
NO2,2022-10-15 01:00:00,27.3,GR9
NO2,2022-10-15 02:00:00,23.9,GR9
NO2,2022-10-15 03:00:00,23.7,GR9
NO2,2022-10-15 04:00:00,29,GR9
NO2,2022-10-15 05:00:00,22.8,GR9
NO2,2022-10-15 06:00:00,28.7,GR9
NO2,2022-10-15 07:00:00,34.9,GR9
NO2,2022-10-15 08:00:00,14.1,GR9
NO2,2022-10-15 09:00:00,7.6,GR9
NO2,2022-10-15 10:00:00,6.8,GR9
NO2,2022-10-15 11:00:00,6.1,GR9
NO2,2022-10-15 12:00:00,8.4,GR9
NO2,2022-10-15 13:00:00,12.1,GR9
NO2,2022-10-15 14:00:00,10.9,GR9
NO2,2022-10-15 15:00:00,8.7,GR9
NO2,2022-10-15 16:00:00,20.3,GR9
NO2,2022-10-15 17:00:00,27.3,GR9
NO2,2022-10-15 18:00:00,14.8,GR9
NO2,2022-10-15 19:00:00,12.6,GR9
NO2,2022-10-15 20:00:00,10,GR9
NO2,2022-10-15 21:00:00,9.6,GR9
NO2,2022-10-15 22:00:00,8.6,GR9
NO2,2022-10-15 23:00:00,7.5,GR9
NO2,2022-10-16 00:00:00,8.8,GR9
NO2,2022-10-16 01:00:00,4.1,GR9
NO2,2022-10-16 02:00:00,3.2,GR9
NO2,2022-10-16 03:00:00,2.8,GR9
NO2,2022-10-16 04:00:00,3.2,GR9
NO2,2022-10-16 05:00:00,4.8,GR9
NO2,2022-10-16 06:00:00,7.2,GR9
NO2,2022-10-16 07:00:00,15.7,GR9
